run,batch_size,interval_scheduler,search_step,start_muon_lr,end_muon_lr,muon_lr,muon_momentum,interval_loss,final_loss
3,2000,exp_linear,1,0.33,0.002,0.002,0.6,0.86806,0.86806
3,2000,exp_linear,1,0.33,0.002,0.002,0.7,0.868016,0.868016
3,2000,exp_linear,1,0.33,0.0012,0.0012,0.7,0.86937,0.86937
3,2000,exp_linear,1,0.2,0.33,0.33,0.6,1.051597,1.051597
3,2000,exp_linear,1,0.2,0.2,0.2,0.5,0.94655,0.94655
3,2000,exp_linear,1,0.2,0.2,0.2,0.6,0.992327,0.992327
3,2000,exp_linear,1,0.2,0.2,0.2,0.7,0.958667,0.958667
3,2000,exp_linear,1,0.2,0.12,0.12,0.6,0.910235,0.910235
3,2000,exp_linear,1,0.2,0.072,0.072,0.6,0.887777,0.887777
3,2000,exp_linear,1,0.2,0.043,0.043,0.6,0.877606,0.877606
3,2000,exp_linear,1,0.2,0.016,0.016,0.6,0.870883,0.870883
3,2000,exp_linear,1,0.2,0.0093,0.0093,0.6,0.869215,0.869215
3,2000,exp_linear,1,0.2,0.0056,0.0056,0.6,0.868247,0.868247
3,2000,exp_linear,1,0.2,0.0056,0.0056,0.7,0.868177,0.868177
3,2000,exp_linear,1,0.2,0.0034,0.0034,0.6,0.867927,0.867927
3,2000,exp_linear,1,0.2,0.0034,0.0034,0.7,0.867728,0.867728
3,2000,exp_linear,1,0.2,0.002,0.002,0.6,0.867813,0.867813
3,2000,exp_linear,1,0.2,0.002,0.002,0.7,0.867586,0.867586
3,2000,exp_linear,1,0.2,0.002,0.002,0.8,0.868159,0.868159
3,2000,exp_linear,1,0.2,0.0012,0.0012,0.7,0.86808,0.86808
3,2000,exp_linear,1,0.12,0.33,0.33,0.6,1.071079,1.071079
3,2000,exp_linear,1,0.12,0.2,0.2,0.6,1.0155,1.0155
3,2000,exp_linear,1,0.12,0.12,0.12,0.6,0.921415,0.921415
3,2000,exp_linear,1,0.12,0.0034,0.0034,0.7,0.868044,0.868044
3,2000,exp_linear,1,0.12,0.002,0.002,0.7,0.867791,0.867791
3,2000,exp_linear,1,0.12,0.0012,0.0012,0.7,0.868199,0.868199
4,2000,linear,1,0.56,0.12,0.12,0.6,0.901082,0.901082
4,2000,linear,1,0.56,0.072,0.072,0.6,0.878794,0.878794
4,2000,linear,1,0.56,0.043,0.043,0.6,0.872825,0.872825
4,2000,linear,1,0.56,0.026,0.026,0.6,0.870579,0.870579
4,2000,linear,1,0.56,0.016,0.016,0.6,0.869935,0.869935
4,2000,linear,1,0.33,0.33,0.33,0.6,1.030748,1.030748
4,2000,linear,1,0.33,0.2,0.2,0.6,0.973502,0.973502
4,2000,linear,1,0.33,0.12,0.12,0.6,0.923082,0.923082
4,2000,linear,1,0.33,0.072,0.072,0.5,0.883381,0.883381
4,2000,linear,1,0.33,0.072,0.072,0.6,0.882471,0.882471
4,2000,linear,1,0.33,0.072,0.072,0.7,0.887479,0.887479
4,2000,linear,1,0.33,0.043,0.043,0.5,0.874316,0.874316
4,2000,linear,1,0.33,0.043,0.043,0.6,0.871975,0.871975
4,2000,linear,1,0.33,0.043,0.043,0.7,0.872417,0.872417
4,2000,linear,1,0.33,0.026,0.026,0.5,0.869776,0.869776
4,2000,linear,1,0.33,0.026,0.026,0.6,0.86963,0.86963
4,2000,linear,1,0.33,0.026,0.026,0.7,0.869568,0.869568
4,2000,linear,1,0.33,0.016,0.016,0.6,0.868475,0.868475
4,2000,linear,1,0.33,0.0093,0.0093,0.6,0.868095,0.868095
4,2000,linear,1,0.33,0.0056,0.0056,0.6,0.867977,0.867977
4,2000,linear,1,0.33,0.0034,0.0034,0.6,0.868013,0.868013
4,2000,linear,1,0.33,0.002,0.002,0.6,0.868061,0.868061
4,2000,linear,1,0.33,0.0012,0.0012,0.6,0.868092,0.868092
4,2000,linear,1,0.2,0.33,0.33,0.6,1.036,1.036
4,2000,linear,1,0.2,0.2,0.2,0.5,0.94655,0.94655
4,2000,linear,1,0.2,0.2,0.2,0.6,0.992327,0.992327
4,2000,linear,1,0.2,0.2,0.2,0.7,0.958667,0.958667
4,2000,linear,1,0.2,0.12,0.12,0.5,0.915194,0.915194
4,2000,linear,1,0.2,0.12,0.12,0.6,0.919768,0.919768
4,2000,linear,1,0.2,0.12,0.12,0.7,0.911601,0.911601
4,2000,linear,1,0.2,0.072,0.072,0.6,0.886781,0.886781
4,2000,linear,1,0.2,0.043,0.043,0.6,0.87744,0.87744
4,2000,linear,1,0.2,0.026,0.026,0.6,0.871006,0.871006
4,2000,linear,1,0.2,0.016,0.016,0.5,0.869097,0.869097
4,2000,linear,1,0.2,0.016,0.016,0.6,0.868211,0.868211
4,2000,linear,1,0.2,0.016,0.016,0.7,0.869448,0.869448
4,2000,linear,1,0.2,0.0093,0.0093,0.5,0.867746,0.867746
4,2000,linear,1,0.2,0.0093,0.0093,0.6,0.867771,0.867771
4,2000,linear,1,0.2,0.0093,0.0093,0.7,0.86779,0.86779
4,2000,linear,1,0.2,0.0056,0.0056,0.5,0.86746,0.86746
4,2000,linear,1,0.2,0.0056,0.0056,0.6,0.867394,0.867394
4,2000,linear,1,0.2,0.0056,0.0056,0.7,0.867629,0.867629
4,2000,linear,1,0.2,0.0034,0.0034,0.5,0.867381,0.867381
4,2000,linear,1,0.2,0.0034,0.0034,0.6,0.86737,0.86737
4,2000,linear,1,0.2,0.0034,0.0034,0.7,0.867665,0.867665
4,2000,linear,1,0.2,0.002,0.002,0.5,0.867396,0.867396
4,2000,linear,1,0.2,0.002,0.002,0.6,0.867365,0.867365
4,2000,linear,1,0.2,0.002,0.002,0.7,0.867596,0.867596
4,2000,linear,1,0.2,0.0012,0.0012,0.6,0.867415,0.867415
4,2000,linear,1,0.12,0.33,0.33,0.6,1.05012,1.05012
4,2000,linear,1,0.12,0.2,0.2,0.6,0.959026,0.959026
4,2000,linear,1,0.12,0.12,0.12,0.6,0.921415,0.921415
4,2000,linear,1,0.12,0.072,0.072,0.6,0.902924,0.902924
4,2000,linear,1,0.12,0.026,0.026,0.6,0.874525,0.874525
4,2000,linear,1,0.12,0.016,0.016,0.6,0.870175,0.870175
4,2000,linear,1,0.12,0.0093,0.0093,0.6,0.86831,0.86831
4,2000,linear,1,0.12,0.0056,0.0056,0.6,0.867715,0.867715
4,2000,linear,1,0.12,0.0034,0.0034,0.6,0.867461,0.867461
4,2000,linear,1,0.12,0.002,0.002,0.6,0.867429,0.867429
4,2000,linear,1,0.12,0.0012,0.0012,0.6,0.867422,0.867422
5,2000,constant,1,0.33,0.33,0.33,0.6,1.030748,1.030748
5,2000,constant,1,0.2,0.2,0.2,0.5,0.94655,0.94655
5,2000,constant,1,0.2,0.2,0.2,0.6,0.992327,0.992327
5,2000,constant,1,0.2,0.2,0.2,0.7,0.958667,0.958667
5,2000,constant,1,0.12,0.12,0.12,0.5,0.934074,0.934074
5,2000,constant,1,0.12,0.12,0.12,0.6,0.921415,0.921415
5,2000,constant,1,0.12,0.12,0.12,0.7,0.909257,0.909257
5,2000,constant,1,0.12,0.12,0.12,0.8,0.923387,0.923387
5,2000,constant,1,0.072,0.072,0.072,0.6,0.915851,0.915851
5,2000,constant,1,0.072,0.072,0.072,0.7,0.910888,0.910888
6,10000,exp_linear,1,0.56,0.072,0.072,0.6,0.8996,0.8996
6,10000,exp_linear,1,0.56,0.072,0.072,0.7,0.897687,0.897687
6,10000,exp_linear,1,0.56,0.043,0.043,0.6,0.891857,0.891857
6,10000,exp_linear,1,0.56,0.043,0.043,0.7,0.885319,0.885319
6,10000,exp_linear,1,0.56,0.026,0.026,0.6,0.884593,0.884593
6,10000,exp_linear,1,0.56,0.026,0.026,0.7,0.879647,0.879647
6,10000,exp_linear,1,0.33,0.33,0.33,0.6,1.145522,1.145522
