round,candidate,step,lr_mult,loss,avg3
28,2,275,0.0721555,3.549026,3.530683
28,2,276,0.0721555,3.513826,3.535922
28,2,277,0.0721555,3.533786,3.532212
28,2,278,0.0721555,3.51342,3.520344
28,2,279,0.0721555,3.497086,3.514764
28,2,280,0.0721555,3.576571,3.529026
29,3,281,0.0721555,3.499225,3.499225
29,3,282,0.0721555,3.491176,3.4952
29,3,283,0.0721555,3.5034,3.497934
29,3,284,0.0721555,3.49927,3.497949
29,3,285,0.0721555,3.441968,3.481546
29,3,286,0.0721555,3.519604,3.486947
29,3,287,0.0721555,3.619411,3.526994
29,3,288,0.0721555,3.483572,3.540862
29,3,289,0.0721555,3.378792,3.493925
29,3,290,0.0721555,3.467922,3.443428
30,3,291,0.0721555,3.472029,3.472029
30,3,292,0.0721555,3.50125,3.486639
30,3,293,0.0721555,3.561206,3.511495
30,3,294,0.0721555,3.540772,3.534409
30,3,295,0.0721555,3.400106,3.500695
30,3,296,0.0721555,3.472711,3.471196
30,3,297,0.0721555,3.506326,3.459714
30,3,298,0.0721555,3.526112,3.501716
30,3,299,0.0721555,3.448006,3.493481
30,3,300,0.0721555,3.473426,3.482515
31,2,301,0.0577244,3.471111,3.471111
31,2,302,0.0577244,3.501241,3.486176
31,2,303,0.0577244,3.5144,3.495584
31,2,304,0.0577244,3.499339,3.504993
31,2,305,0.0577244,3.508546,3.507428
31,2,306,0.0577244,3.452792,3.486892
31,2,307,0.0577244,3.523853,3.495064
31,2,308,0.0577244,3.471329,3.482658
31,2,309,0.0577244,3.471412,3.488865
31,2,310,0.0577244,3.542234,3.494992
32,3,311,0.0577244,3.536541,3.536541
32,3,312,0.0577244,3.525484,3.531013
32,3,313,0.0577244,3.490731,3.517586
32,3,314,0.0577244,3.571774,3.52933
32,3,315,0.0577244,3.44084,3.501115
32,3,316,0.0577244,3.431223,3.481279
32,3,317,0.0577244,3.42992,3.433994
32,3,318,0.0577244,3.47467,3.445271
32,3,319,0.0577244,3.419219,3.44127
32,3,320,0.0577244,3.513777,3.469222
33,4,321,0.0692692,3.464296,3.464296
33,4,322,0.0692692,3.466848,3.465572
33,4,323,0.0692692,3.445501,3.458882
33,4,324,0.0692692,3.477219,3.463189
33,4,325,0.0692692,3.517162,3.479961
33,4,326,0.0692692,3.434603,3.476328
33,4,327,0.0692692,3.479239,3.477001
33,4,328,0.0692692,3.404407,3.439416
33,4,329,0.0692692,3.474982,3.452876
33,4,330,0.0692692,3.507237,3.462209
34,2,331,0.0554154,3.493375,3.493375
34,2,332,0.0554154,3.415324,3.454349
34,2,333,0.0554154,3.515717,3.474805
34,2,334,0.0554154,3.459677,3.463573
34,2,335,0.0554154,3.480486,3.485293
34,2,336,0.0554154,3.440769,3.460311
34,2,337,0.0554154,3.43204,3.451099
34,2,338,0.0554154,3.459969,3.44426
34,2,339,0.0554154,3.499627,3.463879
34,2,340,0.0554154,3.43033,3.463309
35,3,341,0.0554154,3.428031,3.428031
35,3,342,0.0554154,3.430713,3.429372
35,3,343,0.0554154,3.513767,3.457504
35,3,344,0.0554154,3.512417,3.485632
35,3,345,0.0554154,3.521017,3.515734
35,3,346,0.0554154,3.447308,3.493581
35,3,347,0.0554154,3.40954,3.459288
35,3,348,0.0554154,3.531646,3.462831
35,3,349,0.0554154,3.483881,3.475022
35,3,350,0.0554154,3.420347,3.478624
36,3,351,0.0554154,3.4525,3.4525
36,3,352,0.0554154,3.461093,3.456797
36,3,353,0.0554154,3.499848,3.471147
36,3,354,0.0554154,3.458336,3.473092
36,3,355,0.0554154,3.396592,3.451592
36,3,356,0.0554154,3.434977,3.429968
36,3,357,0.0554154,3.463856,3.431808
36,3,358,0.0554154,3.491589,3.463474
36,3,359,0.0554154,3.383594,3.446346
36,3,360,0.0554154,3.43693,3.437371
37,3,361,0.0554154,3.423503,3.423503
37,3,362,0.0554154,3.427594,3.425549
37,3,363,0.0554154,3.455837,3.435645
37,3,364,0.0554154,3.467798,3.45041
37,3,365,0.0554154,3.514438,3.479357
37,3,366,0.0554154,3.410619,3.464285
37,3,367,0.0554154,3.434025,3.453027
37,3,368,0.0554154,3.428361,3.424335
37,3,369,0.0554154,3.453654,3.43868
37,3,370,0.0554154,3.394563,3.425526
38,2,371,0.0443323,3.373692,3.373692
38,2,372,0.0443323,3.46396,3.418826
38,2,373,0.0443323,3.43924,3.425631
38,2,374,0.0443323,3.483962,3.462387
38,2,375,0.0443323,3.43696,3.453387
38,2,376,0.0443323,3.499565,3.473495
38,2,377,0.0443323,3.456881,3.464469
