source,run,label,momentum_config,search_momentum,muon_nesterov,search_nesterov,interval_index,start_step,muon_lr,muon_momentum,selected_muon_nesterov,cooldown_muon_lr,cooldown_muon_momentum,cooldown_muon_nesterov,interval_loss,final_loss,evaluated_interval_configs,evaluated_configs
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,6,12,0.0093,0.6,,0.0056,0.6,,0.879578,0.875201,4,18
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,7,14,0.0056,0.6,,0.0034,0.6,,0.875292,0.8733,4,16
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,8,16,0.0093,0.6,,0.0056,0.6,,0.874635,0.871714,4,17
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,9,18,0.0056,0.6,,0.0034,0.6,,0.871684,0.870341,4,18
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,10,20,0.0034,0.6,,0.002,0.6,,0.870348,0.869664,4,17
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,11,22,0.0034,0.6,,0.002,0.6,,0.869779,0.8692,3,12
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,12,24,0.0056,0.6,,0.002,0.6,,0.869668,0.868849,4,18
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,13,26,0.0034,0.6,,0.002,0.6,,0.869107,0.868426,4,18
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,14,28,0.002,0.6,,0.0012,0.6,,0.868431,0.868146,4,17
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,15,30,0.002,0.6,,0.0012,0.6,,0.868194,0.867975,3,12
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,16,32,0.0093,0.6,,0.002,0.6,,0.870263,0.867688,6,29
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,17,34,0.002,0.6,,0.0012,0.6,,0.867719,0.867454,6,28
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,18,36,0.0012,0.6,,0.00073,0.6,,0.867447,0.867358,4,17
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,19,38,0.00073,0.6,,0.00073,0.6,,0.86736,0.867308,4,15
