source,run,label,momentum_config,search_momentum,muon_nesterov,search_nesterov,step,total_steps,loss,head_lr,muon_lr,muon_momentum,selected_muon_nesterov
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,20,50,0.8717,1072.0,0.0056,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,21,50,0.8707,1072.0,0.0034,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,22,50,0.8703,1072.0,0.0034,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,23,50,0.8702,1072.0,0.0034,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,24,50,0.8698,1072.0,0.0034,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,25,50,0.8706,1072.0,0.0056,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,26,50,0.8697,1072.0,0.0056,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,27,50,0.8689,1072.0,0.0034,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,28,50,0.8691,1072.0,0.0034,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,29,50,0.8685,1072.0,0.002,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,30,50,0.8684,1072.0,0.002,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,31,50,0.8683,1072.0,0.002,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,32,50,0.8682,1072.0,0.002,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,33,50,0.8691,1072.0,0.0093,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,34,50,0.8703,1072.0,0.0093,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,35,50,0.8681,1072.0,0.002,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,36,50,0.8677,1072.0,0.002,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,37,50,0.8675,1072.0,0.0012,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,38,50,0.8674,1072.0,0.0012,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,39,50,0.8674,1072.0,0.00073,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,40,50,0.8674,1072.0,0.00073,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,41,50,0.8673,1072.0,0.0034,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,42,50,0.8678,1072.0,0.0034,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,43,50,0.8672,1072.0,0.002,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,44,50,0.8674,1072.0,0.002,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,45,50,0.8672,1072.0,0.00073,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,46,50,0.8672,1072.0,0.00073,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,47,50,0.8671,1072.0,0.00073,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,48,50,0.8671,1072.0,0.00073,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,49,50,0.8671,1072.0,0.00044,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,50,50,0.8671,1072.0,0.00044,0.6,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,0,50,2.3135,1072.0,0.2,0.6,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,1,50,2.2201,1072.0,0.12,0.5,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,2,50,2.2053,1072.0,0.12,0.5,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,3,50,1.7061,1072.0,0.12,0.5,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,4,50,1.4587,1072.0,0.12,0.5,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,5,50,1.1864,1072.0,0.043,0.6,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,6,50,1.0709,1072.0,0.043,0.6,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,7,50,1.001,1072.0,0.016,0.6,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,8,50,0.9549,1072.0,0.016,0.6,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,9,50,0.9159,1072.0,0.026,0.6,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,10,50,0.8959,1072.0,0.026,0.6,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,11,50,0.8865,1072.0,0.016,0.7,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,12,50,0.8872,1072.0,0.016,0.7,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,13,50,0.8778,1072.0,0.0093,0.7,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,14,50,0.8762,1072.0,0.0093,0.7,
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,15,50,0.8742,1072.0,0.0093,0.7,
