run,N,M,final_k_granularity,cooldown_final_k_granularity,step,total_steps,loss,head_lr,muon_lr
4,1,1,1.0,0.25,24,50,0.9981,1072.0,0.0093
4,1,1,1.0,0.25,25,50,0.9836,1072.0,0.0093
4,1,1,1.0,0.25,26,50,0.9741,1072.0,0.0093
4,1,1,1.0,0.25,27,50,0.9677,1072.0,0.0093
4,1,1,1.0,0.25,28,50,0.9572,1072.0,0.0093
4,1,1,1.0,0.25,29,50,0.947,1072.0,0.0093
4,1,1,1.0,0.25,30,50,0.9365,1072.0,0.0093
4,1,1,1.0,0.25,31,50,0.9316,1072.0,0.0093
4,1,1,1.0,0.25,32,50,0.9228,1072.0,0.0056
4,1,1,1.0,0.25,33,50,0.9137,1072.0,0.0056
4,1,1,1.0,0.25,34,50,0.9077,1072.0,0.0056
4,1,1,1.0,0.25,35,50,0.9038,1072.0,0.0056
4,1,1,1.0,0.25,36,50,0.902,1072.0,0.0056
4,1,1,1.0,0.25,37,50,0.8971,1072.0,0.0034
4,1,1,1.0,0.25,38,50,0.8974,1072.0,0.0056
4,1,1,1.0,0.25,39,50,0.8937,1072.0,0.0034
4,1,1,1.0,0.25,40,50,0.8934,1072.0,0.0034
4,1,1,1.0,0.25,41,50,0.8912,1072.0,0.0034
4,1,1,1.0,0.25,42,50,0.8914,1072.0,0.0034
4,1,1,1.0,0.25,43,50,0.8897,1072.0,0.0034
4,1,1,1.0,0.25,44,50,0.8891,1072.0,0.002
4,1,1,1.0,0.25,45,50,0.887,1072.0,0.002
4,1,1,1.0,0.25,46,50,0.8875,1072.0,0.0034
4,1,1,1.0,0.25,47,50,0.887,1072.0,0.0034
4,1,1,1.0,0.25,48,50,0.8869,1072.0,0.002
4,1,1,1.0,0.25,49,50,0.8847,1072.0,0.002
4,1,1,1.0,0.25,50,50,0.8838,1072.0,0.00044
5,1,1,0.25,0.25,0,50,2.3135,1072.0,0.2
5,1,1,0.25,0.25,1,50,2.2439,1072.0,0.29
5,1,1,0.25,0.25,2,50,2.7203,1072.0,0.49
5,1,1,0.25,0.25,3,50,2.0885,1072.0,0.18
5,1,1,0.25,0.25,4,50,1.8911,1072.0,0.15
5,1,1,0.25,0.25,5,50,1.7483,1072.0,0.093
5,1,1,0.25,0.25,6,50,1.6822,1072.0,0.093
