run,momentum_config,search_momentum,muon_nesterov,search_nesterov,interval_index,start_step,muon_lr,muon_momentum,selected_muon_nesterov,interval_loss,best_cooldown_muon_lr,best_cooldown_muon_momentum,best_cooldown_muon_nesterov,best_final_loss
0,search_momentum_search_nesterov,True,False,True,5,10,0.016,0.8,True,0.875984,0.0056,0.8,True,0.871125
0,search_momentum_search_nesterov,True,False,True,5,10,0.016,0.9,False,0.87461,0.0093,0.9,False,0.870308
0,search_momentum_search_nesterov,True,False,True,5,10,0.016,0.9,True,0.873564,0.0093,0.9,True,0.869712
0,search_momentum_search_nesterov,True,False,True,5,10,0.0093,0.9,False,0.874198,0.0056,0.9,False,0.870962
0,search_momentum_search_nesterov,True,False,True,5,10,0.0093,0.9,True,0.873155,0.0056,0.9,True,0.870611
0,search_momentum_search_nesterov,True,False,True,6,12,0.026,0.9,False,0.881548,0.0056,0.9,False,0.871192
0,search_momentum_search_nesterov,True,False,True,6,12,0.026,0.9,True,0.886485,0.0056,0.9,True,0.870666
0,search_momentum_search_nesterov,True,False,True,6,12,0.016,0.8,False,0.872521,0.0034,0.8,False,0.869095
0,search_momentum_search_nesterov,True,False,True,6,12,0.016,0.8,True,0.875862,0.0093,0.8,True,0.869295
0,search_momentum_search_nesterov,True,False,True,6,12,0.016,0.9,False,0.873782,0.0056,0.9,False,0.868682
0,search_momentum_search_nesterov,True,False,True,6,12,0.016,0.9,True,0.873233,0.0056,0.9,True,0.868961
0,search_momentum_search_nesterov,True,False,True,6,12,0.0093,0.8,False,0.873424,0.0056,0.8,False,0.86898
0,search_momentum_search_nesterov,True,False,True,6,12,0.0093,0.8,True,0.87084,0.0034,0.8,True,0.868904
0,search_momentum_search_nesterov,True,False,True,6,12,0.0093,0.9,False,0.869943,0.0056,0.9,False,0.868641
0,search_momentum_search_nesterov,True,False,True,6,12,0.0093,0.9,True,0.869795,0.0056,0.9,True,0.86828
0,search_momentum_search_nesterov,True,False,True,6,12,0.0056,0.9,False,0.870383,0.0034,0.9,False,0.869133
0,search_momentum_search_nesterov,True,False,True,6,12,0.0056,0.9,True,0.870062,0.0034,0.9,True,0.868946
0,search_momentum_search_nesterov,True,False,True,7,14,0.016,0.9,False,0.876109,0.0034,0.9,False,0.868991
0,search_momentum_search_nesterov,True,False,True,7,14,0.016,0.9,True,0.875786,0.0034,0.9,True,0.868681
0,search_momentum_search_nesterov,True,False,True,7,14,0.0093,0.8,False,0.869259,0.002,0.8,False,0.867993
0,search_momentum_search_nesterov,True,False,True,7,14,0.0093,0.8,True,0.870899,0.0056,0.8,True,0.867936
0,search_momentum_search_nesterov,True,False,True,7,14,0.0093,0.9,False,0.869977,0.0034,0.9,False,0.867789
0,search_momentum_search_nesterov,True,False,True,7,14,0.0093,0.9,True,0.870089,0.0056,0.9,True,0.867765
0,search_momentum_search_nesterov,True,False,True,7,14,0.0056,0.8,True,0.868958,0.0034,0.8,True,0.868
0,search_momentum_search_nesterov,True,False,True,7,14,0.0056,0.9,False,0.868504,0.0034,0.9,False,0.867848
0,search_momentum_search_nesterov,True,False,True,7,14,0.0056,0.9,True,0.868412,0.0034,0.9,True,0.8677
0,search_momentum_search_nesterov,True,False,True,7,14,0.0034,0.9,True,0.868511,0.0056,0.9,True,0.867917
0,search_momentum_search_nesterov,True,False,True,8,16,0.0093,0.9,False,0.868748,0.0056,0.9,False,0.868215
0,search_momentum_search_nesterov,True,False,True,8,16,0.0093,0.9,True,0.870892,0.002,0.9,True,0.86772
0,search_momentum_search_nesterov,True,False,True,8,16,0.0056,0.8,False,0.868029,0.0056,0.8,False,0.867637
0,search_momentum_search_nesterov,True,False,True,8,16,0.0056,0.8,True,0.868541,0.0012,0.8,True,0.867636
0,search_momentum_search_nesterov,True,False,True,8,16,0.0056,0.9,False,0.868036,0.0034,0.9,False,0.867425
0,search_momentum_search_nesterov,True,False,True,8,16,0.0056,0.9,True,0.868156,0.0034,0.9,True,0.867397
0,search_momentum_search_nesterov,True,False,True,8,16,0.0034,0.9,False,0.86791,0.0056,0.9,False,0.867481
0,search_momentum_search_nesterov,True,False,True,8,16,0.0034,0.9,True,0.867725,0.002,0.9,True,0.867466
0,search_momentum_search_nesterov,True,False,True,9,18,0.0093,0.9,False,0.870039,0.002,0.9,False,0.86771
0,search_momentum_search_nesterov,True,False,True,9,18,0.0093,0.9,True,0.869506,0.002,0.9,True,0.867464
0,search_momentum_search_nesterov,True,False,True,9,18,0.0056,0.8,False,0.868137,0.0056,0.8,False,0.867597
0,search_momentum_search_nesterov,True,False,True,9,18,0.0056,0.8,True,0.86824,0.0012,0.8,True,0.867387
0,search_momentum_search_nesterov,True,False,True,9,18,0.0056,0.9,False,0.868784,0.002,0.9,False,0.867378
0,search_momentum_search_nesterov,True,False,True,9,18,0.0056,0.9,True,0.867929,0.0034,0.9,True,0.867221
0,search_momentum_search_nesterov,True,False,True,9,18,0.0034,0.8,False,0.868694,0.002,0.8,False,0.867457
0,search_momentum_search_nesterov,True,False,True,9,18,0.0034,0.8,True,0.867641,0.0012,0.8,True,0.867334
0,search_momentum_search_nesterov,True,False,True,9,18,0.0034,0.9,False,0.867498,0.002,0.9,False,0.867327
0,search_momentum_search_nesterov,True,False,True,9,18,0.0034,0.9,True,0.867518,0.002,0.9,True,0.867212
0,search_momentum_search_nesterov,True,False,True,9,18,0.002,0.9,False,0.86758,0.0012,0.9,False,0.867384
0,search_momentum_search_nesterov,True,False,True,9,18,0.002,0.9,True,0.867494,0.0012,0.9,True,0.867326
0,search_momentum_search_nesterov,True,False,True,10,20,0.0056,0.9,False,0.868137,0.0034,0.9,False,0.867426
0,search_momentum_search_nesterov,True,False,True,10,20,0.0056,0.9,True,0.868676,0.0034,0.9,True,0.867278
0,search_momentum_search_nesterov,True,False,True,10,20,0.0034,0.8,False,0.867527,0.0034,0.8,False,0.867276
0,search_momentum_search_nesterov,True,False,True,10,20,0.0034,0.8,True,0.867661,0.002,0.8,True,0.867196
0,search_momentum_search_nesterov,True,False,True,10,20,0.0034,0.9,False,0.867575,0.002,0.9,False,0.86712
0,search_momentum_search_nesterov,True,False,True,10,20,0.0034,0.9,True,0.867515,0.002,0.9,True,0.867123
0,search_momentum_search_nesterov,True,False,True,10,20,0.002,0.9,False,0.867291,0.0034,0.9,False,0.867126
0,search_momentum_search_nesterov,True,False,True,10,20,0.002,0.9,True,0.867253,0.0012,0.9,True,0.867141
0,search_momentum_search_nesterov,True,False,True,11,22,0.0056,0.9,False,0.869134,0.002,0.9,False,0.867436
0,search_momentum_search_nesterov,True,False,True,11,22,0.0056,0.9,True,0.868774,0.0034,0.9,True,0.867145
0,search_momentum_search_nesterov,True,False,True,11,22,0.0034,0.8,False,0.867883,0.002,0.8,False,0.867118
0,search_momentum_search_nesterov,True,False,True,11,22,0.0034,0.8,True,0.867537,0.0012,0.8,True,0.867106
0,search_momentum_search_nesterov,True,False,True,11,22,0.0034,0.9,False,0.86781,0.002,0.9,False,0.867083
0,search_momentum_search_nesterov,True,False,True,11,22,0.0034,0.9,True,0.867527,0.002,0.9,True,0.867058
0,search_momentum_search_nesterov,True,False,True,11,22,0.002,0.8,False,0.867363,0.00073,0.8,False,0.867125
0,search_momentum_search_nesterov,True,False,True,11,22,0.002,0.9,False,0.867169,0.0012,0.9,False,0.867079
0,search_momentum_search_nesterov,True,False,True,11,22,0.002,0.9,True,0.867172,0.0012,0.9,True,0.867071
0,search_momentum_search_nesterov,True,False,True,11,22,0.0012,0.9,False,0.867156,0.00044,0.9,False,0.867116
0,search_momentum_search_nesterov,True,False,True,12,24,0.0056,0.9,False,0.8696,0.0034,0.9,False,0.867212
0,search_momentum_search_nesterov,True,False,True,12,24,0.0056,0.9,True,0.869167,0.0034,0.9,True,0.867088
0,search_momentum_search_nesterov,True,False,True,12,24,0.0034,0.8,False,0.867762,0.002,0.8,False,0.867076
0,search_momentum_search_nesterov,True,False,True,12,24,0.0034,0.8,True,0.867608,0.002,0.8,True,0.867041
0,search_momentum_search_nesterov,True,False,True,12,24,0.0034,0.9,False,0.867728,0.002,0.9,False,0.86704
0,search_momentum_search_nesterov,True,False,True,12,24,0.0034,0.9,True,0.867585,0.002,0.9,True,0.867022
0,search_momentum_search_nesterov,True,False,True,12,24,0.002,0.9,False,0.867119,0.0012,0.9,False,0.867046
0,search_momentum_search_nesterov,True,False,True,12,24,0.002,0.9,True,0.867117,0.0012,0.9,True,0.867032
0,search_momentum_search_nesterov,True,False,True,13,26,0.0056,0.9,False,0.869851,0.0034,0.9,False,0.867203
0,search_momentum_search_nesterov,True,False,True,13,26,0.0056,0.9,True,0.869334,0.0034,0.9,True,0.867036
0,search_momentum_search_nesterov,True,False,True,13,26,0.0034,0.8,False,0.867708,0.002,0.8,False,0.867038
0,search_momentum_search_nesterov,True,False,True,13,26,0.0034,0.8,True,0.8676,0.002,0.8,True,0.867017
0,search_momentum_search_nesterov,True,False,True,13,26,0.0034,0.9,False,0.867679,0.002,0.9,False,0.867024
0,search_momentum_search_nesterov,True,False,True,13,26,0.0034,0.9,True,0.867592,0.002,0.9,True,0.867006
0,search_momentum_search_nesterov,True,False,True,13,26,0.002,0.8,False,0.867126,0.00044,0.8,False,0.867028
0,search_momentum_search_nesterov,True,False,True,13,26,0.002,0.9,False,0.867068,0.00044,0.9,False,0.867017
0,search_momentum_search_nesterov,True,False,True,13,26,0.002,0.9,True,0.867067,0.00073,0.9,True,0.86701
0,search_momentum_search_nesterov,True,False,True,13,26,0.0012,0.9,False,0.867071,0.00044,0.9,False,0.867028
0,search_momentum_search_nesterov,True,False,True,14,28,0.0056,0.9,False,0.870276,0.0034,0.9,False,0.86713
0,search_momentum_search_nesterov,True,False,True,14,28,0.0056,0.9,True,0.869534,0.0034,0.9,True,0.867014
0,search_momentum_search_nesterov,True,False,True,14,28,0.0034,0.8,False,0.867743,0.002,0.8,False,0.867007
0,search_momentum_search_nesterov,True,False,True,14,28,0.0034,0.8,True,0.867636,0.002,0.8,True,0.867002
0,search_momentum_search_nesterov,True,False,True,14,28,0.0034,0.9,False,0.867791,0.002,0.9,False,0.867009
0,search_momentum_search_nesterov,True,False,True,14,28,0.0034,0.9,True,0.867641,0.002,0.9,True,0.866994
0,search_momentum_search_nesterov,True,False,True,14,28,0.002,0.8,False,0.867093,0.00044,0.8,False,0.867001
0,search_momentum_search_nesterov,True,False,True,14,28,0.002,0.8,True,0.867079,0.00044,0.8,True,0.866997
0,search_momentum_search_nesterov,True,False,True,14,28,0.002,0.9,False,0.867055,0.00044,0.9,False,0.866996
0,search_momentum_search_nesterov,True,False,True,14,28,0.002,0.9,True,0.867046,0.00044,0.9,True,0.86699
0,search_momentum_search_nesterov,True,False,True,14,28,0.0012,0.9,False,0.867044,0.00044,0.9,False,0.867002
0,search_momentum_search_nesterov,True,False,True,14,28,0.0012,0.9,True,0.867043,0.00044,0.9,True,0.867
0,search_momentum_search_nesterov,True,False,True,15,30,0.0034,0.9,False,0.867226,0.00073,0.9,False,0.866998
0,search_momentum_search_nesterov,True,False,True,15,30,0.0034,0.9,True,0.867273,0.00073,0.9,True,0.867003
0,search_momentum_search_nesterov,True,False,True,15,30,0.002,0.8,False,0.867135,0.0012,0.8,False,0.86699
0,search_momentum_search_nesterov,True,False,True,15,30,0.002,0.8,True,0.867109,0.00073,0.8,True,0.866981
0,search_momentum_search_nesterov,True,False,True,15,30,0.002,0.9,False,0.867215,0.0012,0.9,False,0.866964
0,search_momentum_search_nesterov,True,False,True,15,30,0.002,0.9,True,0.867211,0.0012,0.9,True,0.866968
0,search_momentum_search_nesterov,True,False,True,15,30,0.0012,0.8,False,0.867085,0.0012,0.8,False,0.866974
0,search_momentum_search_nesterov,True,False,True,15,30,0.0012,0.8,True,0.867031,0.00044,0.8,True,0.86697
0,search_momentum_search_nesterov,True,False,True,15,30,0.0012,0.9,False,0.866976,0.00073,0.9,False,0.866964
0,search_momentum_search_nesterov,True,False,True,15,30,0.0012,0.9,True,0.867001,0.00073,0.9,True,0.866959
0,search_momentum_search_nesterov,True,False,True,15,30,0.00073,0.9,False,0.866995,0.0012,0.9,False,0.866969
0,search_momentum_search_nesterov,True,False,True,15,30,0.00073,0.9,True,0.866989,0.00044,0.9,True,0.866969
0,search_momentum_search_nesterov,True,False,True,16,32,0.002,0.9,False,0.867144,0.00073,0.9,False,0.866963
0,search_momentum_search_nesterov,True,False,True,16,32,0.002,0.9,True,0.86714,0.0012,0.9,True,0.866969
0,search_momentum_search_nesterov,True,False,True,16,32,0.0012,0.8,False,0.867036,0.00073,0.8,False,0.866955
0,search_momentum_search_nesterov,True,False,True,16,32,0.0012,0.8,True,0.867016,0.00044,0.8,True,0.866954
0,search_momentum_search_nesterov,True,False,True,16,32,0.0012,0.9,False,0.867037,0.0012,0.9,False,0.866946
0,search_momentum_search_nesterov,True,False,True,16,32,0.0012,0.9,True,0.867012,0.00073,0.9,True,0.866947
0,search_momentum_search_nesterov,True,False,True,16,32,0.00073,0.9,False,0.866965,0.00026,0.9,False,0.866951
0,search_momentum_search_nesterov,True,False,True,16,32,0.00073,0.9,True,0.866969,0.00044,0.9,True,0.866948
0,search_momentum_search_nesterov,True,False,True,17,34,0.0034,0.9,True,0.867644,0.0012,0.9,True,0.867044
0,search_momentum_search_nesterov,True,False,True,17,34,0.002,0.8,True,0.867114,0.00073,0.8,True,0.866943
0,search_momentum_search_nesterov,True,False,True,17,34,0.002,0.9,False,0.867296,0.0012,0.9,False,0.866949
0,search_momentum_search_nesterov,True,False,True,17,34,0.002,0.9,True,0.867238,0.0012,0.9,True,0.866938
0,search_momentum_search_nesterov,True,False,True,17,34,0.0012,0.8,False,0.867038,0.00073,0.8,False,0.866946
0,search_momentum_search_nesterov,True,False,True,17,34,0.0012,0.8,True,0.867023,0.00073,0.8,True,0.866943
0,search_momentum_search_nesterov,True,False,True,17,34,0.0012,0.9,False,0.867008,0.00044,0.9,False,0.866941
0,search_momentum_search_nesterov,True,False,True,17,34,0.0012,0.9,True,0.867016,0.00073,0.9,True,0.866939
0,search_momentum_search_nesterov,True,False,True,17,34,0.00073,0.9,False,0.86695,0.00016,0.9,False,0.866942
0,search_momentum_search_nesterov,True,False,True,17,34,0.00073,0.9,True,0.866952,0.00044,0.9,True,0.866939
0,search_momentum_search_nesterov,True,False,True,18,36,0.0034,0.9,False,0.868173,0.002,0.9,False,0.866989
0,search_momentum_search_nesterov,True,False,True,18,36,0.0034,0.9,True,0.867827,0.002,0.9,True,0.866938
0,search_momentum_search_nesterov,True,False,True,18,36,0.002,0.8,False,0.867197,0.0012,0.8,False,0.86695
0,search_momentum_search_nesterov,True,False,True,18,36,0.002,0.8,True,0.867118,0.00073,0.8,True,0.866937
0,search_momentum_search_nesterov,True,False,True,18,36,0.002,0.9,False,0.867226,0.0012,0.9,False,0.866958
0,search_momentum_search_nesterov,True,False,True,18,36,0.002,0.9,True,0.867129,0.00073,0.9,True,0.866939
0,search_momentum_search_nesterov,True,False,True,18,36,0.0012,0.8,False,0.866995,0.00026,0.8,False,0.866943
0,search_momentum_search_nesterov,True,False,True,18,36,0.0012,0.8,True,0.866976,0.00026,0.8,True,0.866938
0,search_momentum_search_nesterov,True,False,True,18,36,0.0012,0.9,False,0.866961,0.00016,0.9,False,0.86694
0,search_momentum_search_nesterov,True,False,True,18,36,0.0012,0.9,True,0.866952,0.00016,0.9,True,0.866935
0,search_momentum_search_nesterov,True,False,True,18,36,0.00073,0.9,False,0.866976,0.00026,0.9,False,0.866944
0,search_momentum_search_nesterov,True,False,True,18,36,0.00073,0.9,True,0.866972,0.00026,0.9,True,0.866941
0,search_momentum_search_nesterov,True,False,True,19,38,0.002,0.9,False,0.867039,0.0012,0.9,False,0.866971
0,search_momentum_search_nesterov,True,False,True,19,38,0.002,0.9,True,0.867045,0.00044,0.9,True,0.866927
0,search_momentum_search_nesterov,True,False,True,19,38,0.0012,0.8,False,0.866959,0.00026,0.8,False,0.866927
0,search_momentum_search_nesterov,True,False,True,19,38,0.0012,0.8,True,0.86696,0.00026,0.8,True,0.866926
0,search_momentum_search_nesterov,True,False,True,19,38,0.0012,0.9,False,0.86696,0.00073,0.9,False,0.866927
0,search_momentum_search_nesterov,True,False,True,19,38,0.0012,0.9,True,0.86697,0.00073,0.9,True,0.866927
0,search_momentum_search_nesterov,True,False,True,19,38,0.00073,0.8,False,0.866961,0.00026,0.8,False,0.866927
0,search_momentum_search_nesterov,True,False,True,19,38,0.00073,0.8,True,0.866945,0.00026,0.8,True,0.866927
0,search_momentum_search_nesterov,True,False,True,19,38,0.00073,0.9,False,0.866943,0.00026,0.9,False,0.866926
0,search_momentum_search_nesterov,True,False,True,19,38,0.00073,0.9,True,0.866933,0.00044,0.9,True,0.86692
0,search_momentum_search_nesterov,True,False,True,19,38,0.00044,0.9,False,0.866936,0.00026,0.9,False,0.866926
0,search_momentum_search_nesterov,True,False,True,19,38,0.00044,0.9,True,0.866932,0.00026,0.9,True,0.866924
0,search_momentum_search_nesterov,True,False,True,20,40,0.0012,0.9,False,0.866938,0.00073,0.9,False,0.86693
0,search_momentum_search_nesterov,True,False,True,20,40,0.0012,0.9,True,0.866967,0.00026,0.9,True,0.866923
0,search_momentum_search_nesterov,True,False,True,20,40,0.00073,0.8,False,0.866931,0.00044,0.8,False,0.866922
0,search_momentum_search_nesterov,True,False,True,20,40,0.00073,0.8,True,0.866935,0.00016,0.8,True,0.86692
0,search_momentum_search_nesterov,True,False,True,20,40,0.00073,0.9,False,0.866933,0.00044,0.9,False,0.866915
0,search_momentum_search_nesterov,True,False,True,20,40,0.00073,0.9,True,0.86693,0.00044,0.9,True,0.866916
0,search_momentum_search_nesterov,True,False,True,20,40,0.00044,0.9,False,0.866924,0.00026,0.9,False,0.866918
