run,momentum_config,search_momentum,muon_nesterov,search_nesterov,interval_index,start_step,interval_muon_lr,interval_muon_momentum,interval_muon_nesterov,cooldown_muon_lr,cooldown_muon_momentum,cooldown_muon_nesterov,final_loss
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.8,True,0.12,0.8,True,1.760037
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.8,True,0.072,0.8,True,1.622198
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.8,True,0.043,0.8,True,1.63895
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.9,True,0.2,0.9,True,1.724623
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.9,True,0.12,0.9,True,1.760684
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.9,True,0.072,0.9,True,1.616277
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.9,True,0.043,0.9,True,1.64186
0,search_momentum_search_nesterov,True,False,True,0,0,0.072,0.6,False,0.12,0.6,False,1.74648
0,search_momentum_search_nesterov,True,False,True,0,0,0.072,0.6,False,0.072,0.6,False,1.794567
0,search_momentum_search_nesterov,True,False,True,0,0,0.072,0.6,False,0.043,0.6,False,1.717553
0,search_momentum_search_nesterov,True,False,True,0,0,0.072,0.6,False,0.026,0.6,False,1.73019
0,search_momentum_search_nesterov,True,False,True,0,0,0.072,0.9,True,0.12,0.9,True,1.705667
0,search_momentum_search_nesterov,True,False,True,0,0,0.072,0.9,True,0.072,0.9,True,1.790259
0,search_momentum_search_nesterov,True,False,True,0,0,0.072,0.9,True,0.043,0.9,True,1.692728
0,search_momentum_search_nesterov,True,False,True,0,0,0.072,0.9,True,0.026,0.9,True,1.722145
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.8,False,0.33,0.8,False,1.58112
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.8,False,0.2,0.8,False,1.528878
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.8,False,0.12,0.8,False,1.171871
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.8,False,0.072,0.8,False,1.127913
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.8,False,0.043,0.8,False,1.139051
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.8,True,0.33,0.8,True,1.786829
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.8,True,0.2,0.8,True,1.565858
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.8,True,0.12,0.8,True,1.242217
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.8,True,0.072,0.8,True,1.125369
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.8,True,0.043,0.8,True,1.15717
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.9,False,0.33,0.9,False,1.542001
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.9,False,0.2,0.9,False,1.464415
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.9,False,0.12,0.9,False,1.153868
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.9,False,0.072,0.9,False,1.10783
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.9,False,0.043,0.9,False,1.124901
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.9,True,0.33,0.9,True,1.777102
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.9,True,0.2,0.9,True,1.493474
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.9,True,0.12,0.9,True,1.190865
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.9,True,0.072,0.9,True,1.139839
0,search_momentum_search_nesterov,True,False,True,1,2,0.2,0.9,True,0.043,0.9,True,1.159791
0,search_momentum_search_nesterov,True,False,True,1,2,0.12,0.7,False,0.2,0.7,False,1.451817
0,search_momentum_search_nesterov,True,False,True,1,2,0.12,0.7,False,0.12,0.7,False,1.325143
0,search_momentum_search_nesterov,True,False,True,1,2,0.12,0.7,False,0.072,0.7,False,1.121361
0,search_momentum_search_nesterov,True,False,True,1,2,0.12,0.7,False,0.043,0.7,False,1.116195
0,search_momentum_search_nesterov,True,False,True,1,2,0.12,0.7,False,0.026,0.7,False,1.146096
0,search_momentum_search_nesterov,True,False,True,1,2,0.12,0.7,True,0.2,0.7,True,1.615297
0,search_momentum_search_nesterov,True,False,True,1,2,0.12,0.7,True,0.12,0.7,True,1.301144
0,search_momentum_search_nesterov,True,False,True,1,2,0.12,0.7,True,0.072,0.7,True,1.151611
